,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1436,HARYANA DELHI & CHANDIGARH,1980,5.8,2.3,22.0,0.4,8.9,45.5,236.5,102.0,50.2,13.4,4.9,21.4,513.2
1437,HARYANA DELHI & CHANDIGARH,1981,25.7,13.3,34.6,0.5,18.0,63.3,196.7,63.7,34.7,0.1,42.1,0.6,493.4
1438,HARYANA DELHI & CHANDIGARH,1982,21.4,20.0,70.7,33.1,57.3,29.9,99.2,150.4,5.4,3.2,2.4,13.6,506.6
1439,HARYANA DELHI & CHANDIGARH,1983,38.0,5.3,6.4,82.5,35.3,29.5,218.3,240.7,79.8,5.4,0.0,3.3,744.5
1440,HARYANA DELHI & CHANDIGARH,1984,1.9,14.5,0.4,2.7,0.7,48.6,154.2,179.5,75.5,0.9,0.0,0.3,479.2
1441,HARYANA DELHI & CHANDIGARH,1985,3.5,0.3,1.1,8.1,3.1,44.2,256.9,152.4,35.9,42.6,0.0,24.3,572.4
1442,HARYANA DELHI & CHANDIGARH,1986,7.2,31.0,12.7,3.3,36.0,85.1,92.5,108.9,52.9,11.2,0.7,9.5,450.9
1443,HARYANA DELHI & CHANDIGARH,1987,21.3,27.8,12.4,6.4,62.5,27.7,26.4,106.6,18.0,3.2,0.0,6.3,318.6
1444,HARYANA DELHI & CHANDIGARH,1988,1.5,13.2,34.5,3.6,3.4,82.4,288.5,222.5,183.4,0.0,0.1,12.0,845.0
1445,HARYANA DELHI & CHANDIGARH,1989,40.1,0.4,11.7,0.6,2.3,31.6,90.8,152.5,68.7,0.2,5.2,12.4,416.5
1446,HARYANA DELHI & CHANDIGARH,1990,0.0,79.5,4.9,2.2,21.9,25.3,201.2,137.7,194.5,2.7,14.1,19.2,703.1
1447,HARYANA DELHI & CHANDIGARH,1991,0.1,19.7,2.9,13.2,6.0,50.4,55.3,187.9,36.9,1.4,3.8,16.2,393.9
1448,HARYANA DELHI & CHANDIGARH,1992,20.3,16.4,0.5,1.2,7.8,17.2,124.5,171.6,59.0,3.8,7.2,0.0,429.7
1449,HARYANA DELHI & CHANDIGARH,1993,4.5,16.1,11.3,5.4,8.8,42.0,274.6,35.6,125.4,0.0,0.0,0.0,523.8
1450,HARYANA DELHI & CHANDIGARH,1994,20.1,11.3,0.6,7.6,8.5,51.3,275.8,160.6,28.2,0.0,0.1,0.2,564.4
1451,HARYANA DELHI & CHANDIGARH,1995,38.8,21.7,9.8,4.9,0.6,47.2,115.0,405.3,175.3,0.2,0.1,0.3,819.1
1452,HARYANA DELHI & CHANDIGARH,1996,16.0,30.5,11.6,0.6,5.1,109.4,85.8,249.2,116.3,19.9,0.0,0.3,644.6
1453,HARYANA DELHI & CHANDIGARH,1997,6.6,2.2,14.6,35.3,38.0,60.2,133.6,226.8,36.9,53.7,13.4,47.3,668.6
1454,HARYANA DELHI & CHANDIGARH,1998,0.4,24.6,25.4,9.1,6.1,68.4,154.8,161.6,150.9,78.2,5.8,0.0,685.3
1455,HARYANA DELHI & CHANDIGARH,1999,31.7,0.7,1.4,0.0,20.1,42.2,109.8,78.7,54.7,4.8,0.0,0.4,344.4
1456,HARYANA DELHI & CHANDIGARH,2000,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0.0,0.4,1.2,384.4
1457,HARYANA DELHI & CHANDIGARH,2001,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5
1458,HARYANA DELHI & CHANDIGARH,2002,11.6,31.1,9.0,1.1,52.0,21.2,19.4,78.2,123.0,1.9,0.0,8.8,357.2
1459,HARYANA DELHI & CHANDIGARH,2003,14.7,29.9,4.0,1.8,7.5,26.6,277.6,165.3,58.9,0.0,0.1,11.0,597.6
1460,HARYANA DELHI & CHANDIGARH,2004,25.4,0.3,0.0,18.1,40.7,52.5,19.9,252.9,22.1,54.1,0.0,1.2,487.3
1461,HARYANA DELHI & CHANDIGARH,2005,13.9,35.7,29.9,2.7,7.6,53.9,175.6,52.6,146.7,0.0,0.8,0.0,519.5
1462,HARYANA DELHI & CHANDIGARH,2006,2.3,0.1,30.4,0.6,24.8,45.4,135.2,32.1,49.9,3.8,1.2,5.2,330.9
1463,HARYANA DELHI & CHANDIGARH,2007,0.5,76.0,40.1,2.0,12.4,88.7,82.0,87.9,55.2,0.1,0.3,1.4,446.6
1464,HARYANA DELHI & CHANDIGARH,2008,2.4,0.4,0.6,13.4,72.9,193.5,124.3,174.2,114.5,8.4,5.5,0.2,710.4
1465,HARYANA DELHI & CHANDIGARH,2009,4.1,5.9,5.7,11.7,17.7,15.2,106.4,63.8,160.8,2.5,1.1,0.4,395.4
1466,HARYANA DELHI & CHANDIGARH,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8,640.5
1467,HARYANA DELHI & CHANDIGARH,2011,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4,512.0
1468,HARYANA DELHI & CHANDIGARH,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4
1469,HARYANA DELHI & CHANDIGARH,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2
1470,HARYANA DELHI & CHANDIGARH,2014,13.0,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6,305.5
1471,HARYANA DELHI & CHANDIGARH,2015,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2,435.3
