,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
2986,CHHATTISGARH,1920,1.7,2.6,21.9,25.6,23.4,97.0,542.5,391.5,92.0,5.2,0.0,0.0,1203.4
2987,CHHATTISGARH,1921,39.6,1.6,0.0,6.2,0.0,335.4,311.4,401.8,210.9,12.3,0.0,0.0,1319.4
2988,CHHATTISGARH,1922,21.1,1.2,0.5,12.7,9.5,180.2,416.7,305.2,297.6,23.5,38.9,1.7,1308.8
2989,CHHATTISGARH,1923,3.9,27.1,15.2,9.7,5.3,103.8,374.6,582.3,194.9,61.9,8.0,0.5,1387.2
2990,CHHATTISGARH,1924,32.3,11.1,5.9,9.0,18.0,83.5,310.3,329.5,330.6,79.5,124.5,0.1,1334.2
2991,CHHATTISGARH,1925,0.2,0.5,0.3,10.6,88.6,368.8,560.4,476.6,166.8,45.1,19.1,0.0,1737.1
2992,CHHATTISGARH,1926,33.2,10.7,99.7,63.3,45.3,55.3,374.4,555.5,330.5,63.4,0.2,3.3,1634.9
2993,CHHATTISGARH,1927,11.7,57.9,24.1,2.3,15.9,193.3,468.3,488.8,171.9,75.2,27.8,0.0,1537.1
2994,CHHATTISGARH,1928,6.8,11.3,8.8,13.6,16.7,210.1,384.4,272.7,192.5,97.8,0.0,4.4,1219.2
2995,CHHATTISGARH,1929,23.1,28.9,1.2,14.4,5.6,216.2,597.9,461.1,179.2,94.3,0.0,41.9,1663.8
2996,CHHATTISGARH,1930,0.0,4.0,13.5,43.3,7.9,190.9,517.4,285.0,185.3,37.3,93.9,5.1,1383.5
2997,CHHATTISGARH,1931,8.4,64.4,14.5,10.6,14.6,104.6,359.1,510.8,169.3,156.3,54.1,0.2,1467.0
2998,CHHATTISGARH,1932,0.0,22.9,3.7,9.5,18.8,109.6,525.2,300.9,272.6,56.4,37.6,0.2,1357.6
2999,CHHATTISGARH,1933,31.6,75.9,14.9,21.9,97.3,310.7,388.9,368.3,286.5,41.4,7.9,5.5,1650.6
3000,CHHATTISGARH,1934,1.8,0.0,1.5,11.5,0.0,263.1,412.0,483.4,305.3,37.0,12.3,1.1,1529.2
3001,CHHATTISGARH,1935,12.2,17.9,5.1,33.4,4.1,132.2,562.1,247.2,247.6,3.8,0.0,3.6,1269.2
