,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
3213,TELANGANA,1917,0.0,65.5,33.0,34.1,52.7,184.1,267.5,180.1,275.6,106.7,6.6,0.0,1206.0
3214,TELANGANA,1918,20.2,0.0,32.6,8.3,55.5,97.8,106.1,89.6,96.9,6.4,7.5,33.9,554.7
3215,TELANGANA,1919,5.5,39.2,31.3,35.0,23.6,158.8,139.4,115.3,129.9,130.6,78.5,7.4,894.6
3216,TELANGANA,1920,7.4,0.0,1.7,24.4,31.4,62.8,138.8,66.5,78.9,24.9,0.0,0.0,437.0
3217,TELANGANA,1921,7.1,0.0,0.1,5.4,5.5,200.9,296.7,161.1,240.7,68.0,17.9,0.0,1003.3
3218,TELANGANA,1922,55.3,0.0,0.0,6.6,50.1,69.2,184.3,158.3,170.2,23.0,50.7,0.0,767.5
3219,TELANGANA,1923,3.0,5.3,23.3,10.7,18.0,43.5,222.8,80.3,334.4,44.0,1.0,0.0,786.2
3220,TELANGANA,1924,37.0,0.0,0.0,9.2,34.6,62.8,124.7,220.2,288.2,51.6,116.1,0.0,944.5
3221,TELANGANA,1925,0.0,0.0,0.0,49.8,97.8,168.1,266.2,239.2,148.1,187.5,8.1,3.1,1167.9
3222,TELANGANA,1926,46.1,2.0,24.0,48.8,24.0,74.7,227.3,205.1,70.5,41.0,0.0,0.0,763.5
3223,TELANGANA,1927,9.6,11.0,4.6,2.0,14.3,248.3,266.0,158.5,142.4,59.9,89.0,0.0,1005.5
3224,TELANGANA,1928,0.0,15.8,47.3,4.5,27.9,143.9,248.6,191.6,215.2,104.1,0.0,7.4,1006.4
3225,TELANGANA,1929,5.3,64.8,0.0,21.7,2.8,146.0,115.0,142.2,232.5,35.9,0.0,24.5,790.5
3226,TELANGANA,1930,0.0,14.7,5.4,13.5,1.7,184.9,131.1,144.7,215.6,60.0,64.3,0.0,835.8
3227,TELANGANA,1931,0.3,5.1,4.0,13.3,25.9,187.3,368.6,155.9,288.1,107.4,25.5,1.6,1183.1
3228,TELANGANA,1932,0.0,40.3,1.3,17.6,25.8,119.7,300.4,179.0,172.9,32.0,60.9,0.0,949.9
3229,TELANGANA,1933,12.9,17.4,15.7,25.0,63.4,332.0,243.4,226.7,262.2,128.9,24.0,44.5,1396.3
3230,TELANGANA,1934,0.1,0.0,0.1,18.3,1.2,111.7,296.9,280.2,162.3,15.2,42.0,0.0,927.9
3231,TELANGANA,1935,16.2,3.4,1.4,42.2,2.7,115.1,309.7,162.9,198.3,43.5,2.6,0.5,898.5
3232,TELANGANA,1936,2.5,79.1,15.3,8.4,73.7,200.0,268.9,220.9,128.4,96.4,48.2,15.1,1157.0
3233,TELANGANA,1937,0.0,33.2,28.6,105.6,3.0,77.8,285.8,102.4,153.6,72.1,0.9,3.0,866.1
3234,TELANGANA,1938,0.0,41.3,14.2,16.6,27.8,226.3,331.6,256.5,201.9,59.2,0.0,0.0,1175.3
3235,TELANGANA,1939,0.0,0.0,22.0,16.7,3.0,73.5,173.2,202.5,107.1,130.3,11.8,0.0,740.0
3236,TELANGANA,1940,0.0,0.5,11.4,33.6,91.4,128.5,345.8,281.5,94.7,64.9,22.2,8.1,1082.6
3237,TELANGANA,1941,16.6,3.3,4.8,4.8,17.5,121.4,87.9,149.9,137.5,49.6,0.7,0.4,594.4
3238,TELANGANA,1942,0.0,23.0,0.2,31.7,30.9,160.0,250.1,277.3,107.4,20.9,3.9,1.6,906.9
3239,TELANGANA,1943,15.2,0.6,1.7,34.4,26.9,180.4,179.3,133.4,262.2,62.7,2.6,0.0,899.3
3240,TELANGANA,1944,0.0,13.7,82.3,5.4,15.7,114.5,224.1,142.4,207.7,131.9,22.7,0.0,960.5
3241,TELANGANA,1945,4.3,0.0,0.0,39.0,11.2,144.5,332.1,238.4,159.1,94.1,4.8,0.0,1027.4
3242,TELANGANA,1946,0.0,15.9,5.2,21.7,14.5,152.1,287.2,149.5,85.0,30.7,57.5,3.6,822.8
3243,TELANGANA,1947,13.4,18.0,3.3,1.8,10.8,59.9,273.3,315.5,248.3,35.3,16.2,9.7,1005.5
3244,TELANGANA,1948,3.7,4.6,5.1,20.0,15.0,71.4,239.3,165.4,242.5,25.0,123.0,0.0,915.0
3245,TELANGANA,1949,0.5,0.0,2.4,13.8,67.9,152.0,335.5,173.6,198.1,94.6,0.2,0.0,1038.6
3246,TELANGANA,1950,0.0,34.7,14.2,0.2,11.6,78.4,222.7,118.5,254.1,21.8,4.7,0.5,761.3
3247,TELANGANA,1951,0.0,0.0,56.1,20.1,31.1,116.8,356.0,151.7,103.9,64.4,0.7,0.0,900.8
3248,TELANGANA,1952,0.5,16.4,0.8,12.4,32.5,80.1,205.1,148.9,137.7,88.3,0.2,6.9,729.7
3249,TELANGANA,1953,5.1,0.0,3.0,26.8,0.7,224.0,200.9,364.5,269.5,175.8,1.7,0.0,1272.1
3250,TELANGANA,1954,0.0,0.0,13.2,4.3,14.4,105.3,300.4,192.5,252.9,44.2,0.0,1.2,928.4
3251,TELANGANA,1955,1.0,0.0,2.9,9.8,27.8,230.3,259.9,300.1,249.7,116.2,5.5,0.0,1203.2
3252,TELANGANA,1956,0.7,1.5,1.9,5.9,52.9,220.1,393.8,133.3,156.9,94.5,59.1,0.0,1120.5
3253,TELANGANA,1957,0.0,7.7,23.7,33.4,18.6,157.9,206.9,358.5,100.9,75.6,0.0,0.0,983.2
3254,TELANGANA,1958,2.1,4.9,10.0,24.7,14.1,72.9,407.5,351.7,135.2,69.8,20.9,0.0,1113.9
