,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
4044,LAKSHADWEEP,1944,25.4,67.9,5.8,16.6,174.5,261.4,247.3,99.1,272.6,175.9,234.9,86.7,1668.1
4045,LAKSHADWEEP,1945,16.8,1.3,0.0,0.9,54.2,362.0,341.0,148.8,42.8,132.8,155.1,65.6,1321.3
4046,LAKSHADWEEP,1946,15.7,1.5,9.5,32.0,85.74541697058119,230.23444417416664,347.21433438792855,290.2634970817118,197.3619221411195,95.50700900462415,39.86616321559074,18.870579639551828,1411.0088997555017
4047,LAKSHADWEEP,1947,20.1,9.1,24.3,140.2,87.9,364.8,303.6,504.6,168.8,74.2,28.4,29.9,1755.9
4048,LAKSHADWEEP,1948,70.0,5.7,0.2,17.2,121.0,278.5,159.0,124.8,39.5,356.7,118.5,34.2,1325.3
4049,LAKSHADWEEP,1949,2.2,1.0,0.0,2.4,372.5,380.5,476.7,242.5,188.5,80.1,39.86616321559074,8.8,1411.0088997555017
4050,LAKSHADWEEP,1950,8.5,38.7,25.1,69.9,158.6,203.1,405.0,266.5,135.3,52.7,31.0,99.7,1494.1
4051,LAKSHADWEEP,1951,24.3,28.9,35.3,129.9,108.4,445.1,524.2,43.7,156.0,68.6,103.6,47.3,1715.3
4052,LAKSHADWEEP,1952,21.3,11.2,0.8,11.6,152.4,343.5,157.9,79.6,38.3,273.0,12.2,22.7,1124.5
4053,LAKSHADWEEP,1953,10.4,40.8,9.3,35.0,15.3,205.8,537.0,69.4,125.5,452.4,95.6,9.7,1606.2
4054,LAKSHADWEEP,1954,74.1,0.0,14.6,39.8,122.3,375.2,259.5,232.9,123.5,256.2,34.1,23.3,1555.5
4055,LAKSHADWEEP,1955,11.4,39.1,0.0,105.4,235.2,345.5,215.4,63.2,302.5,155.9,61.2,13.5,1548.3
4056,LAKSHADWEEP,1956,13.6,27.7,1.3,40.8,269.5,356.1,109.8,91.6,148.0,175.6,48.5,4.9,1287.4
4057,LAKSHADWEEP,1957,0.9,11.4,34.6,23.7,195.6,309.9,129.1,149.6,47.5,215.2,198.5,31.2,1347.2
4058,LAKSHADWEEP,1958,0.2,1.6,0.0,8.0,116.0,269.4,84.5,238.2,54.0,133.4,51.1,36.2,992.6
4059,LAKSHADWEEP,1959,15.0,0.0,8.0,51.6,320.5,337.7,205.8,151.2,183.2,183.8,97.8,29.0,1583.6
4060,LAKSHADWEEP,1960,29.6,40.0,3.3,85.4,497.1,176.8,257.3,168.4,221.3,169.7,235.9,17.0,1901.8
4061,LAKSHADWEEP,1961,60.3,47.4,0.0,31.3,421.1,593.2,297.3,228.2,215.8,148.1,98.8,93.8,2235.3
4062,LAKSHADWEEP,1962,11.1,0.0,0.0,81.5,331.2,149.3,204.5,286.7,201.8,210.9,33.5,76.1,1586.6
