,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
685,ORISSA,1919,59.8,56.6,29.5,30.2,72.0,332.3,354.7,492.2,138.3,89.8,99.7,2.8,1758.1
686,ORISSA,1920,3.3,18.2,50.7,26.9,51.2,173.2,561.4,303.9,167.2,44.9,1.6,0.0,1402.6
687,ORISSA,1921,48.7,1.1,1.7,26.4,19.5,210.2,321.9,289.1,338.2,62.9,4.4,0.0,1324.0
688,ORISSA,1922,20.0,0.2,1.9,13.9,46.6,247.0,431.8,295.4,328.8,50.9,30.0,0.1,1466.5
689,ORISSA,1923,0.2,66.3,9.6,17.1,34.4,106.7,288.7,333.0,210.5,112.6,74.8,4.7,1258.6
690,ORISSA,1924,30.2,5.9,1.3,15.7,83.9,95.3,228.5,312.4,232.0,106.0,152.3,0.0,1263.4
691,ORISSA,1925,2.0,0.0,6.0,52.2,111.8,353.5,433.7,429.9,201.5,201.8,4.8,10.7,1807.8
692,ORISSA,1926,34.8,11.3,83.2,34.1,59.2,71.7,296.5,565.3,288.9,88.1,0.0,2.6,1535.8
693,ORISSA,1927,3.0,27.2,8.1,12.6,51.6,241.8,454.5,431.5,181.0,92.2,22.1,0.0,1525.5
694,ORISSA,1928,4.6,4.6,6.3,62.8,68.8,266.7,468.8,266.1,226.5,208.0,1.7,0.6,1585.6
695,ORISSA,1929,18.0,18.8,4.5,25.0,37.8,193.4,525.0,423.4,190.9,185.7,0.0,15.3,1637.8
696,ORISSA,1930,0.2,12.1,9.9,33.4,38.0,177.5,357.5,333.7,287.5,50.5,143.1,2.7,1446.4
697,ORISSA,1931,7.4,36.8,20.7,18.6,44.3,108.0,239.9,511.0,197.0,233.4,59.5,0.4,1477.2
698,ORISSA,1932,0.2,34.0,9.9,26.9,67.4,116.5,474.7,271.0,246.3,57.3,136.0,0.0,1440.2
699,ORISSA,1933,17.8,57.4,7.9,25.5,136.5,288.6,404.8,448.6,294.7,138.1,20.0,11.1,1851.0
700,ORISSA,1934,0.1,1.4,4.2,11.0,21.0,230.6,371.8,425.4,300.1,102.6,17.4,3.3,1488.9
701,ORISSA,1935,1.1,10.2,12.4,42.1,16.2,135.5,531.3,212.8,237.8,17.5,0.1,2.3,1219.4
702,ORISSA,1936,16.8,42.9,11.7,7.9,155.3,477.6,360.1,384.9,247.3,154.4,11.5,5.5,1876.0
703,ORISSA,1937,0.0,89.0,28.4,66.9,64.9,235.2,430.6,290.0,285.8,75.5,0.8,0.3,1567.3
704,ORISSA,1938,11.0,16.8,14.0,14.5,119.6,229.6,267.2,339.8,226.4,179.0,23.7,0.0,1441.6
705,ORISSA,1939,8.1,10.9,34.9,26.3,19.1,196.9,411.9,410.1,242.1,181.2,19.3,2.8,1563.4
706,ORISSA,1940,0.0,35.3,70.1,29.1,133.1,286.2,532.6,395.9,133.3,58.3,3.3,10.5,1687.7
707,ORISSA,1941,28.3,1.4,8.2,14.5,62.3,288.2,356.5,272.4,186.0,155.9,61.5,0.1,1435.2
708,ORISSA,1942,4.7,18.6,2.5,37.6,29.6,156.8,423.8,379.8,256.4,62.7,75.4,0.1,1448.3
709,ORISSA,1943,63.9,4.1,11.9,68.9,54.6,200.3,413.3,382.9,294.7,71.8,20.1,0.0,1586.5
