,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1663,HIMACHAL PRADESH,1977,85.5,4.7,12.9,97.5,87.2,86.1,339.7,236.4,197.1,18.8,9.9,69.2,1245.0
1664,HIMACHAL PRADESH,1978,63.7,102.6,157.9,53.5,31.1,156.1,280.0,300.1,137.7,3.6,75.9,9.0,1371.2
1665,HIMACHAL PRADESH,1979,170.0,115.3,157.4,31.9,85.1,64.8,163.4,119.0,43.5,7.0,34.0,29.6,1021.0
1666,HIMACHAL PRADESH,1980,83.2,87.1,71.7,28.5,26.1,106.8,477.1,128.8,52.5,25.3,27.3,40.5,1155.0
1667,HIMACHAL PRADESH,1981,114.5,96.3,162.0,54.4,67.1,94.7,233.5,163.4,71.6,11.4,70.4,7.9,1147.1
1668,HIMACHAL PRADESH,1982,187.3,147.7,228.9,146.2,152.5,58.3,160.4,170.2,31.5,42.5,21.8,75.7,1423.0
1669,HIMACHAL PRADESH,1983,91.7,97.6,162.8,136.7,86.1,59.2,166.7,204.2,121.5,48.2,1.0,13.9,1189.6
1670,HIMACHAL PRADESH,1984,24.3,134.5,38.7,68.6,14.7,105.0,194.4,192.5,121.5,10.6,25.1,38.4,968.3
1671,HIMACHAL PRADESH,1985,70.4,23.0,36.2,65.6,54.3,54.1,301.3,252.7,118.0,127.6,2.8,88.0,1193.9
1672,HIMACHAL PRADESH,1986,7.3,119.3,159.4,105.3,99.1,86.4,240.9,246.9,52.4,43.4,72.7,89.5,1322.6
1673,HIMACHAL PRADESH,1987,68.1,84.6,77.9,132.1,214.2,81.0,90.4,147.8,50.3,76.7,0.8,11.6,1035.6
1674,HIMACHAL PRADESH,1988,41.6,128.3,353.9,27.2,39.3,84.0,411.3,304.7,360.2,2.2,4.9,123.5,1881.1
1675,HIMACHAL PRADESH,1989,111.0,62.5,89.2,39.4,92.5,59.7,291.1,247.3,64.9,7.3,52.9,59.4,1177.2
1676,HIMACHAL PRADESH,1990,36.2,161.2,217.7,52.5,61.8,80.2,302.3,221.8,162.8,15.6,10.1,140.6,1462.7
1677,HIMACHAL PRADESH,1991,24.0,143.1,120.6,104.5,69.7,67.1,141.6,258.3,128.5,2.2,4.3,40.9,1104.8
1678,HIMACHAL PRADESH,1992,123.9,75.8,199.4,36.9,83.9,53.0,277.5,374.0,127.6,7.0,19.4,4.7,1383.1
1679,HIMACHAL PRADESH,1993,109.2,69.7,164.1,20.6,56.7,70.9,386.9,89.1,143.1,0.3,17.7,0.0,1128.3
1680,HIMACHAL PRADESH,1994,88.7,124.7,29.0,131.3,65.5,114.2,367.0,311.0,92.7,8.5,0.1,77.6,1410.2
1681,HIMACHAL PRADESH,1995,61.5,140.0,96.7,85.8,44.2,66.5,332.4,345.1,284.5,5.4,13.9,17.7,1493.9
1682,HIMACHAL PRADESH,1996,118.6,117.8,112.5,50.6,68.5,173.7,210.6,348.3,138.5,38.3,0.6,6.4,1384.4
1683,HIMACHAL PRADESH,1997,50.9,58.5,60.4,97.4,66.1,92.3,198.7,476.1,113.8,44.4,87.4,108.5,1454.5
1684,HIMACHAL PRADESH,1998,13.5,133.8,139.4,71.5,41.3,152.3,210.7,239.8,251.5,119.4,5.9,2.4,1381.6
1685,HIMACHAL PRADESH,1999,109.2,54.3,33.4,7.1,98.3,104.7,304.1,284.6,111.4,6.4,28.9,2.5,1144.9
1686,HIMACHAL PRADESH,2000,118.2,119.0,68.1,25.6,79.9,198.0,265.1,126.7,50.1,0.0,10.5,6.9,1068.4
1687,HIMACHAL PRADESH,2001,30.5,35.7,105.8,66.9,67.3,153.8,239.5,202.3,26.9,5.0,20.8,37.3,991.8
1688,HIMACHAL PRADESH,2002,66.7,136.5,136.9,124.0,27.0,56.1,81.8,225.6,123.1,8.2,0.7,3.9,990.4
1689,HIMACHAL PRADESH,2003,39.5,116.6,113.0,52.9,35.9,61.4,187.7,228.7,135.5,0.3,22.5,40.4,1034.5
1690,HIMACHAL PRADESH,2004,86.2,43.0,5.9,54.7,57.6,76.1,141.3,202.5,47.6,104.7,9.3,49.4,878.5
1691,HIMACHAL PRADESH,2005,147.8,222.9,143.3,35.2,52.4,52.6,317.2,114.2,156.3,1.8,0.3,4.5,1248.5
1692,HIMACHAL PRADESH,2006,102.5,38.2,137.3,44.3,68.4,104.8,260.3,274.2,92.8,17.5,26.9,51.2,1218.4
1693,HIMACHAL PRADESH,2007,1.3,121.0,177.0,9.6,39.3,155.7,155.2,234.3,85.7,18.7,1.0,35.6,1034.5
1694,HIMACHAL PRADESH,2008,129.9,63.2,6.3,44.4,42.9,187.3,194.9,224.7,142.6,33.9,5.3,38.9,1114.2
1695,HIMACHAL PRADESH,2009,54.8,45.9,43.4,91.2,53.5,45.5,170.2,162.6,172.1,16.4,93.1,7.8,956.5
1696,HIMACHAL PRADESH,2010,25.5,96.6,45.1,60.3,81.4,108.5,291.8,274.1,176.7,30.5,10.8,58.1,1259.4
1697,HIMACHAL PRADESH,2011,43.9,97.4,49.7,62.4,45.1,118.3,177.7,380.2,120.3,6.0,0.3,6.9,1108.3
1698,HIMACHAL PRADESH,2012,92.3,51.3,28.4,55.9,9.4,31.1,241.5,280.6,133.1,3.1,3.2,21.8,951.6
1699,HIMACHAL PRADESH,2013,79.9,182.6,76.6,28.9,32.6,233.6,208.8,240.0,65.8,21.8,16.6,24.8,1211.9
1700,HIMACHAL PRADESH,2014,69.6,124.9,125.2,60.6,68.9,51.7,203.6,146.7,84.6,19.3,4.5,49.3,1008.7
1701,HIMACHAL PRADESH,2015,67.2,156.6,192.5,84.9,45.0,85.8,249.9,195.9,75.5,17.7,14.5,25.0,1210.5
